Epoch 124 | Train Loss: 0.22090311 | Test Loss: 0.19240976 | Train Error: 0.02122870 | Test Error: -0.79721197 | Train Error_abs: 5.05785689 | Test Error_abs: 2.83087989
Epoch 125 | Train Loss: 0.22007292 | Test Loss: 0.19164876 | Train Error: -1.46935659 | Test Error: -0.79520986 | Train Error_abs: 4.36467129 | Test Error_abs: 2.84289295
Epoch 126 | Train Loss: 0.21918806 | Test Loss: 0.19070545 | Train Error: -1.01848504 | Test Error: -0.78225027 | Train Error_abs: 4.25777308 | Test Error_abs: 2.85746778
Epoch 127 | Train Loss: 0.21859648 | Test Loss: 0.19001281 | Train Error: -0.40262807 | Test Error: -0.78329534 | Train Error_abs: 4.57188485 | Test Error_abs: 2.85946766
Epoch 128 | Train Loss: 0.21772571 | Test Loss: 0.18922925 | Train Error: -1.10952760 | Test Error: -0.79153749 | Train Error_abs: 4.21095859 | Test Error_abs: 2.89514675
Epoch 129 | Train Loss: 0.21693600 | Test Loss: 0.18839035 | Train Error: -0.62527495 | Test Error: -0.78319268 | Train Error_abs: 4.76226322 | Test Error_abs: 2.90658124
Epoch 130 | Train Loss: 0.21614818 | Test Loss: 0.18753878 | Train Error: -0.63411604 | Test Error: -0.78918647 | Train Error_abs: 4.44010947 | Test Error_abs: 2.91428389
Epoch 131 | Train Loss: 0.21568665 | Test Loss: 0.18653186 | Train Error: -0.18160445 | Test Error: -0.78533981 | Train Error_abs: 5.07993436 | Test Error_abs: 2.91368463
Epoch 132 | Train Loss: 0.21473567 | Test Loss: 0.18563618 | Train Error: -0.41158981 | Test Error: -0.79050078 | Train Error_abs: 4.47993735 | Test Error_abs: 2.94679421
Epoch 133 | Train Loss: 0.21393623 | Test Loss: 0.18464335 | Train Error: -0.19259483 | Test Error: -0.78931339 | Train Error_abs: 4.64953560 | Test Error_abs: 2.95498294
Epoch 134 | Train Loss: 0.21341713 | Test Loss: 0.18363774 | Train Error: -0.54032513 | Test Error: -0.79026869 | Train Error_abs: 4.68327572 | Test Error_abs: 2.96152459
Epoch 135 | Train Loss: 0.21264752 | Test Loss: 0.18244054 | Train Error: -0.42134210 | Test Error: -0.78428679 | Train Error_abs: 4.86703660 | Test Error_abs: 2.96402648
Epoch 136 | Train Loss: 0.21174543 | Test Loss: 0.18155164 | Train Error: -0.79089939 | Test Error: -0.79048048 | Train Error_abs: 4.90576477 | Test Error_abs: 2.98164705
Epoch 137 | Train Loss: 0.21100793 | Test Loss: 0.18030725 | Train Error: -0.81407617 | Test Error: -0.79083483 | Train Error_abs: 4.18177112 | Test Error_abs: 2.98028293
Epoch 138 | Train Loss: 0.20994998 | Test Loss: 0.17971298 | Train Error: -0.67414734 | Test Error: -0.79742640 | Train Error_abs: 4.71347838 | Test Error_abs: 2.99627898
Epoch 139 | Train Loss: 0.20900634 | Test Loss: 0.17848684 | Train Error: -0.32875535 | Test Error: -0.79590115 | Train Error_abs: 4.66086076 | Test Error_abs: 3.02259956
Epoch 140 | Train Loss: 0.20825728 | Test Loss: 0.17736802 | Train Error: -0.51747349 | Test Error: -0.79607485 | Train Error_abs: 4.74186500 | Test Error_abs: 3.03926590
Epoch 141 | Train Loss: 0.20742171 | Test Loss: 0.17617396 | Train Error: -0.58638384 | Test Error: -0.79464473 | Train Error_abs: 4.68016581 | Test Error_abs: 3.03931440
Epoch 142 | Train Loss: 0.20662706 | Test Loss: 0.17493127 | Train Error: -2.06810523 | Test Error: -0.78677990 | Train Error_abs: 5.18201628 | Test Error_abs: 3.03260129
Epoch 143 | Train Loss: 0.20555222 | Test Loss: 0.17380251 | Train Error: -0.63610160 | Test Error: -0.78720283 | Train Error_abs: 4.70247818 | Test Error_abs: 3.05876785
Epoch 144 | Train Loss: 0.20491163 | Test Loss: 0.17266399 | Train Error: -1.00477799 | Test Error: -0.78267874 | Train Error_abs: 4.40388770 | Test Error_abs: 3.06966807
Epoch 145 | Train Loss: 0.20404662 | Test Loss: 0.17161210 | Train Error: -0.44299000 | Test Error: -0.77718614 | Train Error_abs: 4.93578183 | Test Error_abs: 3.07990871
Epoch 146 | Train Loss: 0.20289843 | Test Loss: 0.17023911 | Train Error: -0.94493757 | Test Error: -0.76709598 | Train Error_abs: 4.44663460 | Test Error_abs: 3.08991501
Epoch 147 | Train Loss: 0.20216777 | Test Loss: 0.16916067 | Train Error: -0.87768556 | Test Error: -0.76974740 | Train Error_abs: 4.90644437 | Test Error_abs: 3.09386777
Epoch 148 | Train Loss: 0.20098729 | Test Loss: 0.16780937 | Train Error: -1.15994112 | Test Error: -0.76198372 | Train Error_abs: 4.96413571 | Test Error_abs: 3.11199750
Epoch 149 | Train Loss: 0.20028219 | Test Loss: 0.16634558 | Train Error: -0.55537176 | Test Error: -0.75133563 | Train Error_abs: 4.78027379 | Test Error_abs: 3.12584138
Epoch 150 | Train Loss: 0.19918689 | Test Loss: 0.16553313 | Train Error: -0.59749641 | Test Error: -0.75717749 | Train Error_abs: 5.20025926 | Test Error_abs: 3.12213694
